@relation amazon_train

@attribute text string
@attribute class-att {0,1}

@data'!I definitly recommend!!'	,1
')Setup couldn\'t have been simpler.'	,1
'1. long lasting battery (you don\'t have to recharge it as frequentyly as some of the flip phones)2.'	,0
'A Disappointment.'	,0
'A must study for anyone interested in the "worst sins" of industrial design.'	,0
'A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!'	,0
'A pretty good product.'	,1
'A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.'	,1
'A week later after I activated it, it suddenly died.'	,0
'Absolutel junk.'	,0
'Absolutely great.'	,1
'After 3 months, screen just went black all of a sudden.'	,0
'After a year the battery went completely dead on my headset.'	,0
'AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.'	,0
'After charging overnight, these batteries work great.'	,1
'After trying many many handsfree gadgets this is the one that finally works well.'	,1
'All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.'	,0
'All in all I think it was a good investment.'	,1
'All in all, I\'d expected a better consumer experience from Motorola.'	,0
'All in all, I\'m quite satisfied with this purchase.'	,1
'All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.'	,0
'All the other cases I\'ve tried normally fall apart after a few months but this one seems to be in for the long haul.'	,1
'Also difficult to put on.I\'d recommend avoiding this product.'	,0
'Also its slim enough to fit into my alarm clock docking station without removing the case.'	,1
'Also the area where my unit broke).- I\'m not too fond of the magnetic strap.'	,0
'Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.'	,0
'Also, the phone doesn\'t seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.'	,0
'AMAZON SUCKS.'	,0
'An Awesome New Look For Fall 2000!.'	,1
'And I just love the colors!'	,1
'And none of the tones is acceptable.'	,0
'And the sound quality is great.'	,1
'Another note about this phone\'s appearance is that it really looks rather bland, especially in the all black model.'	,0
'Any ring tone..Overall good phone to buy..'	,1
'As an earlier review noted, plug in this charger and nothing happens.'	,0
'As many people complained, I found this headset\'s microphone was very weak.'	,0
'Att is not clear, sound is very distorted and you have to yell when you talk.'	,0
'Audio Quality is poor, very poor.'	,0
'Authentic leather with nice shine and comfort .I recommend you this case !!'	,1
'Avoid this one if you can.'	,0
'awesome device.'	,1
'Awsome Device Works Great!!.'	,1
'Bad Choice.'	,0
'bad fit, way too big.'	,0
'Bad Purchase.'	,0
'Bad Quality.'	,0
'Basically the service was very bad.'	,0
'Battery is holding up well.'	,1
'Battery is terrible.'	,0
'Battery lasts only a few hours.'	,0
'Battery life is also great!'	,1
'Battery life is real good.'	,1
'Battery life still not long enough in Motorola Razor V3i.'	,0
'best bluetooth on the market.'	,1
'Best I\'ve found so far .... I\'ve tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.'	,1
'Best of all is the rotating feature, very helpful.'	,1
'Better than expected.'	,1
'Better Than New.'	,1
'Better than you\'d expect.'	,1
'Big Disappointment with calendar sync.'	,0
'Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.'	,0
'Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.'	,1
'BT50 battery junk!.'	,0
'But it does get better reception and clarity than any phone I\'ve had before.'	,1
'But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I\'m lost.'	,0
'Buy a different phone - but not this.'	,0
'Buyer Beware, you could flush money right down the toilet.'	,0
'Buyer--Be Very Careful!!!!!.'	,0
'camera color balance is AWFUL.'	,0
'Cant get the software to work with my computer.'	,0
'Can\'t store anything but phone numbers to SIM.'	,0
'Can\'t upload ringtones from a third party.'	,0
'Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended'	,1
'Case was more or less an extra that I originally put on but later discarded because it scratched my ear.'	,0
'Chinese Forgeries Abound!.'	,0
'Clear Skype Calls, Long Battery Life, Long Range.'	,1
'clipping this to your belt will deffinitely make you feel like 50 cent\'s up-and-coming.'	,1
'Comfort for our whole family.'	,1
'Comfortable, Nice Range, Good Battery Life.'	,1
'Could not get strong enough signal.'	,0
'Cumbersome design.'	,0
'Customer service was terrible.'	,0
'Defective crap.'	,0
'Definitely a bargain.'	,1
'Design Flaw?.'	,0
'Disapointing Results.'	,0
'Disappointed with battery.'	,0
'Disappointed!.'	,0
'Disappointing accessory from a good manufacturer.'	,0
'Disappointment.. I hate anything that goes in my ear.'	,0
'Display is excellent and camera is as good as any from that year.'	,1
'DO NOT BUY DO NOT BUYIT SUCKS'	,0
'Do Not Buy for D807...wrongly advertised for D807.'	,0
'Do NOT buy if you want to use the holster.'	,0
'Do not make the same mistake as me.'	,0
'DO NOT PURCHASE THIS PHONE.'	,0
'Does everything it should and more.'	,1
'Does not fit.'	,0
'Doesn\'t hold charge.'	,0
'doesn\'t last long.'	,0
'Doesn\'t work at all.. I bougth it for my L7c and its not working.'	,0
'Don\'t bother - go to the store.'	,0
'Don\'t buy it.'	,0
'Don\'t buy this product.'	,0
'Don\'t buy this product.'	,0
'Don\'t make the same mistake I did.'	,0
'Don\'t make the same mistake that I did and please don\'t buy this phone.'	,0
'Don\'t waste your $$$ on this one.'	,0
'don\'t waste your money and time.'	,0
'Don\'t waste your money!.'	,0
'Dont waste your money...'	,0
'Due to this happening on every call I was forced to stop using this headset.'	,0
'During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.'	,0
'Easy to pair with my Samsung Cell.'	,1
'Easy to use.'	,1
'Essentially you can forget Microsoft\'s tech support.'	,0
'Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.'	,0
'every thing on phone work perfectly, she like it.'	,1
'Everything about it is fine and reasonable for the price i.e.'	,1
'Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.'	,1
'Exactly what I wanted.'	,1
'Excellent bluetooth headset.'	,1
'Excellent hands free tool.'	,1
'Excellent Phone.'	,1
'Excellent product for the price.'	,1
'Excellent product, I am very satisfied with the purchase.'	,1
'EXCELLENT SERVICE!!!!!!!!.'	,1
'Excellent sound quality.'	,1
'Excellent starter wireless headset.'	,0
'Excellent wallet type phone case.'	,1
'Fantastic earphones.'	,1
'fast service.'	,1
'Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.'	,0
'First of all, it doesn\'t wear well.'	,0
'First off the reception sucks, I have never had more than 2 bars, ever.'	,0
'For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.'	,0
'For the price on Amazon, it is an excellent product, which I would highly recommend.'	,1
'Freezes frequently4.'	,0
'Gets the job done.'	,1
'Good audio quality.'	,1
'Good case, Excellent value.'	,1
'good item, low price.'	,1
'Good price.'	,1
'Good product - incredible value.'	,1
'Good product, good seller.'	,1
'good protection and does not make phone too bulky.'	,1
'Good transmit audio.'	,1
'Great audio!.'	,1
'Great case and price!'	,1
'Great charger.'	,1
'Great choice!'	,1
'Great Earpiece.'	,1
'Great for iPODs too.'	,1
'Great for the jawbone.'	,1
'Great for using with your home stereo.'	,1
'Great Hands Free Device.'	,1
'great headset, very impressed - H500.'	,1
'Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!'	,1
'Great phone!.'	,1
'Great phone!.'	,1
'Great Phone.'	,1
'Great phone.'	,1
'Great Pocket PC / phone combination.'	,1
'Great price also!'	,1
'Great product and price.'	,1
'Great product for the price!.'	,1
'Great product, fast shipping!.'	,1
'Great Product.'	,1
'Great software for Motorolas.'	,1
'Great sound and service.'	,1
'Great Value.'	,1
'great...no problems at all!.'	,1
'Has been working great.'	,1
'He was very impressed when going from the original battery to the extended battery.'	,1
'Headset works great & was packaged nicely to avoid any damage.'	,1
'Highly recommend for any one who has a blue tooth phone.'	,1
'Horrible phone.'	,0
'horrible, had to switch 3 times.'	,0
'How can that be?The audio quality is poor.'	,0
'However I needed some better instructions.'	,0
'However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.'	,0
'However-the riingtones are not the best, and neither are the games.'	,0
'I advise EVERYONE DO NOT BE FOOLED!'	,0
'I also didn\'t like the "on" button, it felt like it would crack with use.'	,0
'I am also very happy with the price.'	,1
'I am glad I purchased it.'	,1
'I am more than happy with this product.'	,1
'I am not impressed with this and i would not recommend this item to anyone.'	,0
'I am very happy'	,1
'I am very impressed with the job that Motorola did on the sturdiness of this phone.'	,1
'I am very impressed with this headset from Plantronics.'	,1
'I bought it for my mother and she had a problem with the battery.'	,0
'I bought this phone as a replacement for my StarTac and have regretted it since.'	,0
'I bought this to use with my Kindle Fire and absolutely loved it!'	,1
'I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.'	,0
'I can barely ever hear on it and am constantly saying "what?"'	,0
'I connected my wife\'s bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.'	,1
'I contacted the company and they told me that, although the unit was still under warranty, if I couldn\'t produce my receipt I was out of luck.'	,0
'I could not recommend these more.'	,0
'I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.'	,0
'I did not have any problem with this item and would order it again if needed.'	,1
'I didn\'t think that the instructions provided were helpful to me.'	,0
'I ended up sliding it on the edge of my pants or back pockets instead.'	,1
'I especially love the long battery life.'	,1
'I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!'	,1
'I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.'	,0
'I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.'	,0
'I found the product to be easy to set up and use.'	,1
'I found this product to be waaay too big.'	,0
'I gave it 5 stars because of the sound quality.'	,1
'I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.'	,0
'I got it because it was so small and adorable.'	,1
'I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.'	,1
'I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.'	,0
'i got this phone around the end of may and i\'m completely unhappy with it.'	,0
'I got this phone on reccomendation from a relative and I\'m glad I did.'	,1
'I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!'	,1
'I had ordered a motorola data cable, got a very well finished and working product.'	,1
'I had to go to a store and bought a new NOKIA phone which is working great.'	,1
'I had Verizon 2 years ago and really liked their service.'	,1
'I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.'	,0
'I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.'	,1
'I have had problems wit hit dropping signal and more.'	,0
'I have had this phone for over a year now, and I will tell you, its not that great.'	,0
'I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.'	,1
'I have purchased these for both family and friends, and all enjoy their clarity and ease of use'	,1
'I have this phone and it is a thorn in my side, I really abhor it.'	,0
'I have to jiggle the plug to get it to line up right to get decent volume.'	,0
'I have two more years left in this contract and I hate this phone.'	,0
'I have used several phone in two years, but this one is the best.'	,1
'I have yet to run this new battery below two bars and that\'s three days without charging.'	,1
'I highly recommend these and encourage people to give them a try.'	,1
'I highly recommend this device to everyone!'	,1
'I highly recommend this modest priced cellular phone.'	,1
'I know that sounds funny, but to me it seemed like sketchy technology that wouldn\'t work well.Well, this one works great.'	,1
'I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.'	,1
'I love all the features and form factor.'	,1
'I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.'	,1
'I love the camera, it\'s really pretty good quality.'	,1
'I love the look and feel of Samsung flipphones.'	,1
'I love the ringtones because they are so upbeat!'	,1
'I love this bluetooth!'	,1
'I love this device.'	,1
'I love this phone , It is very handy and has a lot of features .'	,1
'I love this phone!.'	,1
'I love this thing!'	,1
'I might have gotten a defect, but I would not risk buying it again because of the built quality alone.'	,0
'I only hear garbage for audio.'	,0
'I only used it two days, and it wasn\'t always easy to hear with.'	,0
'I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).'	,0
'I ordered this product first and was unhappy with it immediately.'	,0
'I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.'	,1
'I posted more detailed comments under the grey or black phone, but i have the Fire Red and it\'s a great color!'	,1
'I purcashed this for the car charger and it does not work.'	,0
'I purchased this and within 2 days it was no longer working!!!!!!!!!'	,0
'I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.'	,0
'I really recommend this faceplates since it looks very nice, elegant and cool.'	,1
'I received it quickly and it works great!!'	,1
'I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.'	,1
'I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.'	,0
'I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.'	,0
'I recommend iGo to anyone with different brand cell phones/mp3 players in the family.'	,1
'I searched the Internet, and found this one to be the best value.'	,1
'I still maintain that monkeys shouldn\'t make headphones, we just obviously don\'t share enough DNA to copy the design over to humans.'	,0
