ID, prob
0,0.47
1,0.17
2,0.38
3,0.17
4,0.28
5,0.63
6,0.53
7,0.54
8,0.57
9,0.64
10,0.67
11,0.62
12,0.29
13,0.45
14,0.48
15,0.19
16,0.36
17,0.51
18,0.24
19,0.68
20,0.4
21,0.44
22,0.81
23,0.34
24,0.44
25,0.57
26,0.56
27,0.56
28,0.62
29,0.64
30,0.44
31,0.77
32,0.24
33,0.21
34,0.06
35,0.31
36,0.45
37,0.5
38,0.44
39,0.65
40,0.26
41,0.34
42,0.6
43,0.31
44,0.28
45,0.32
46,0.82
47,0.46
48,0.68
49,0.62
50,0.6
51,0.37
52,0.46
53,0.57
54,0.53
55,0.59
56,0.71
57,0.55
58,0.66
59,0.5
60,0.32
61,0.89
62,0.42
63,0.42
64,0.37
65,0.6
66,0.21
67,0.27
68,0.33
69,0.47
70,0.34
71,0.52
72,0.54
73,0.74
74,0.54
75,0.53
76,0.83
77,0.69
78,0.49
79,0.83
80,0.51
81,0.46
82,0.5
83,0.4
84,0.51
85,0.61
86,0.12
87,0.4
88,0.5
89,0.48
90,0.65
91,0.27
92,0.49
93,0.58
94,0.4
95,0.36
96,0.35
97,0.63
98,0.29
99,0.25
100,0.76
101,0.81
102,0.69
103,0.38
104,0.51
105,0.56
106,0.58
107,0.61
108,0.42
109,0.52
110,0.45
111,0.63
112,0.45
113,0.51
114,0.54
115,0.67
116,0.62
117,0.69
118,0.27
119,0.48
120,0.42
121,0.55
122,0.24
123,0.41
124,0.28
125,0.47
126,0.46
127,0.42
128,0.64
129,0.22
130,0.31
131,0.68
132,0.25
133,0.21
134,0.39
135,0.45
136,0.35
137,0.38
138,0.51
139,0.74
140,0.6
141,0.39
142,0.58
143,0.22
144,0.56
145,0.56
146,0.47
147,0.59
148,0.26
149,0.17
150,0.37
151,0.51
152,0.21
153,0.64
154,0.29
155,0.49
156,0.57
157,0.7
158,0.29
159,0.6
160,0.53
161,0.5
162,0.68
163,0.7
164,0.69
165,0.35
166,0.47
167,0.71
168,0.58
169,0.55
170,0.56
171,0.55
172,0.19
173,0.3
174,0.35
175,0.18
176,0.86
177,0.46
178,0.86
179,0.6
180,0.43
181,0.43
182,0.66
183,0.48
184,0.28
185,0.29
186,0.32
187,0.64
188,0.44
189,0.6
190,0.61
191,0.26
192,0.41
193,0.38
194,0.55
195,0.55
196,0.53
197,0.79
198,0.59
199,0.73
200,0.39
201,0.26
202,0.53
203,0.56
204,0.53
205,0.41
206,0.54
207,0.68
208,0.77
209,0.43
210,0.62
211,0.48
212,0.42
213,0.31
214,0.55
215,0.58
216,0.51
217,0.67
218,0.27
219,0.33
220,0.66
221,0.56
222,0.62
223,0.35
224,0.56
225,0.58
226,0.53
227,0.35
228,0.48
229,0.34
230,0.51
231,0.73
232,0.56
233,0.36
234,0.38
235,0.47
236,0.42
237,0.9
238,0.55
239,0.71
240,0.58
241,0.58
242,0.32
243,0.5
244,0.78
245,0.84
246,0.45
247,0.41
248,0.6
249,0.54
250,0.52
251,0.64
252,0.52
253,0.68
254,0.79
255,0.43
256,0.52
257,0.38
258,0.71
259,0.42
260,0.35
261,0.65
262,0.52
263,0.51
264,0.37
265,0.79
266,0.77
267,0.51
268,0.23
269,0.34
270,0.62
271,0.63
272,0.54
273,0.62
274,0.75
275,0.38
276,0.56
277,0.41
278,0.52
279,0.54
280,0.69
281,0.5
282,0.27
283,0.61
284,0.55
285,0.66
286,0.71
287,0.49
288,0.6
289,0.48
290,0.19
291,0.69
292,0.55
293,0.35
294,0.58
295,0.48
296,0.6
297,0.25
298,0.59
299,0.15
