ID,label,predicted
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,0,0
6,0,0
7,1,0
8,1,0
9,0,0
10,1,0
11,0,0
12,0,1
13,1,1
14,0,1
15,1,1
16,1,1
17,0,0
18,1,1
19,0,0
20,1,1
21,1,1
22,0,0
23,1,1
24,0,1
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,1
31,0,0
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,0,0
38,1,1
39,1,0
40,1,1
41,1,1
42,0,0
43,1,1
44,1,1
45,1,1
46,0,0
47,1,1
48,0,0
49,1,0
50,0,0
51,1,1
52,1,1
53,0,0
54,0,0
55,1,0
56,0,0
57,0,0
58,0,0
59,0,0
60,1,1
61,0,0
62,1,1
63,1,1
64,1,1
65,1,0
66,1,1
67,1,1
68,1,1
69,0,1
70,1,1
71,0,0
72,0,0
73,0,0
74,1,0
75,1,0
76,0,0
77,0,0
78,1,1
79,0,0
80,0,0
81,0,1
82,1,0
83,1,1
84,0,0
85,0,0
86,1,1
87,0,1
88,1,0
89,0,1
90,0,0
91,1,1
92,0,1
93,1,0
94,1,1
95,1,1
96,0,1
97,1,0
98,1,1
99,1,1
100,1,0
101,0,0
102,1,0
103,1,1
104,1,0
105,0,0
106,1,0
107,0,0
108,1,1
109,0,0
110,0,1
111,0,0
112,0,1
113,0,0
114,0,0
115,0,0
116,1,0
117,0,0
118,1,1
119,0,1
120,1,1
121,0,0
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,0
129,1,1
130,0,1
131,0,0
132,1,1
133,1,1
134,1,1
135,0,1
136,1,1
137,0,1
138,0,0
139,0,0
140,0,0
141,1,1
142,0,0
143,1,1
144,1,0
145,0,0
146,0,1
147,0,0
148,1,1
149,1,1
150,1,1
151,0,0
152,1,1
153,0,0
154,1,1
155,1,1
156,0,0
157,0,0
158,1,1
159,0,0
160,0,0
161,0,0
162,0,0
163,1,0
164,0,0
165,0,1
166,0,1
167,1,0
168,0,0
169,0,0
170,0,0
171,0,0
172,1,1
173,1,1
174,1,1
175,1,1
176,1,0
177,1,1
178,0,0
179,0,0
180,1,1
181,1,1
182,0,0
183,1,1
184,1,1
185,1,1
186,1,1
187,0,0
188,0,1
189,0,0
190,0,0
191,1,1
192,1,1
193,1,1
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,1,1
201,1,1
202,0,0
203,0,0
204,1,0
205,1,1
206,1,0
207,1,0
208,0,0
209,1,1
210,0,0
211,1,1
212,0,1
213,1,1
214,0,0
215,1,0
216,0,0
217,0,0
218,1,1
219,1,1
220,0,0
221,0,0
222,0,0
223,1,1
224,1,0
225,0,0
226,1,0
227,0,1
228,0,1
229,1,1
230,0,0
231,0,0
232,0,0
233,0,1
234,1,1
235,0,1
236,1,1
237,0,0
238,1,0
239,0,0
240,0,0
241,0,0
242,1,1
243,0,0
244,0,0
245,0,0
246,1,1
247,1,1
248,1,0
249,0,0
250,1,0
251,1,0
252,1,0
253,0,0
254,0,0
255,0,1
256,0,0
257,1,1
258,0,0
259,1,1
260,1,1
261,1,0
262,1,0
263,0,0
264,1,1
265,0,0
266,0,0
267,0,0
268,1,1
269,1,1
270,1,0
271,1,0
272,1,0
273,1,0
274,0,0
275,1,1
276,0,0
277,0,1
278,0,0
279,0,0
280,0,0
281,0,0
282,1,1
283,0,0
284,0,0
285,0,0
286,0,0
287,0,1
288,0,0
289,1,1
290,1,1
291,0,0
292,0,0
293,0,1
294,0,0
295,1,1
296,1,0
297,1,1
298,1,0
299,1,1
