===== Loaded dataset: imdbtrain.arff =====
===== Loaded dataset: imdbtest.arff =====
There are 300 test instances
    0: true=1         , predicted=1         , distribution=[         0 :  0.150][         1 :  0.850]

    1: true=1         , predicted=1         , distribution=[         0 :  0.210][         1 :  0.790]

    2: true=1         , predicted=1         , distribution=[         0 :  0.340][         1 :  0.660]

    3: true=1         , predicted=1         , distribution=[         0 :  0.270][         1 :  0.730]

    4: true=1         , predicted=1         , distribution=[         0 :  0.310][         1 :  0.690]

    5: true=0         , predicted=0         , distribution=[         0 :  0.720][         1 :  0.280]

    6: true=0         , predicted=0         , distribution=[         0 :  0.510][         1 :  0.490]

    7: true=1         , predicted=0         , distribution=[         0 :  0.650][         1 :  0.350]

    8: true=1         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

    9: true=0         , predicted=0         , distribution=[         0 :  0.790][         1 :  0.210]

   10: true=1         , predicted=0         , distribution=[         0 :  0.600][         1 :  0.400]

   11: true=0         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

   12: true=0         , predicted=0         , distribution=[         0 :  0.550][         1 :  0.450]

   13: true=1         , predicted=0         , distribution=[         0 :  0.600][         1 :  0.400]

   14: true=0         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

   15: true=1         , predicted=1         , distribution=[         0 :  0.280][         1 :  0.720]

   16: true=1         , predicted=1         , distribution=[         0 :  0.300][         1 :  0.700]

   17: true=0         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

   18: true=1         , predicted=1         , distribution=[         0 :  0.220][         1 :  0.780]

   19: true=0         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

   20: true=1         , predicted=1         , distribution=[         0 :  0.230][         1 :  0.770]

   21: true=1         , predicted=1         , distribution=[         0 :  0.470][         1 :  0.530]

   22: true=0         , predicted=0         , distribution=[         0 :  0.710][         1 :  0.290]

   23: true=1         , predicted=1         , distribution=[         0 :  0.360][         1 :  0.640]

   24: true=0         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

   25: true=0         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

   26: true=0         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

   27: true=0         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

   28: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

   29: true=0         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

   30: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

   31: true=0         , predicted=0         , distribution=[         0 :  0.770][         1 :  0.230]

   32: true=1         , predicted=1         , distribution=[         0 :  0.160][         1 :  0.840]

   33: true=1         , predicted=1         , distribution=[         0 :  0.350][         1 :  0.650]

   34: true=1         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

   35: true=1         , predicted=1         , distribution=[         0 :  0.260][         1 :  0.740]

   36: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

   37: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

   38: true=1         , predicted=1         , distribution=[         0 :  0.340][         1 :  0.660]

   39: true=1         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

   40: true=1         , predicted=1         , distribution=[         0 :  0.240][         1 :  0.760]

   41: true=1         , predicted=1         , distribution=[         0 :  0.310][         1 :  0.690]

   42: true=0         , predicted=0         , distribution=[         0 :  0.630][         1 :  0.370]

   43: true=1         , predicted=1         , distribution=[         0 :  0.370][         1 :  0.630]

   44: true=1         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

   45: true=1         , predicted=1         , distribution=[         0 :  0.280][         1 :  0.720]

